name,date,country_id:id,vocative
Adam,2015-12-24,base.cz,Adame
Adolf,2015-06-17,base.cz,Adolfe
Adrian,2015-06-26,base.cz,Adriane
Adriana,2015-06-26,base.cz,Adriano
Adéla,2015-09-02,base.cz,Adélo
Agáta,2015-10-14,base.cz,Agáto
Alan,2015-08-14,base.cz,Alane
Albert,2015-11-21,base.cz,Alberte
Albína,2015-12-16,base.cz,Albíno
Alena,2015-08-13,base.cz,Aleno
Alexandr,2015-02-27,base.cz,Alexandře
Alexandra,2015-04-21,base.cz,Alexandro
Alexej,2015-05-03,base.cz,Alexeji
Aleš,2015-04-13,base.cz,Aleši
Alice,2015-01-15,base.cz,Alice
Alina,2015-07-28,base.cz,Alino
Alois,2015-06-21,base.cz,Aloisi
Alžběta,2015-11-19,base.cz,Alžběto
Ambrož,2015-12-07,base.cz,Ambroži
Amálie,2015-07-10,base.cz,Amálie
Anastázie,2015-04-15,base.cz,Anastázie
Andrea,2015-09-26,base.cz,Andreo
Andrej,2015-10-11,base.cz,Andreji
Anděla,2015-03-11,base.cz,Andělo
Aneta,2015-05-17,base.cz,Aneto
Anežka,2015-03-02,base.cz,Anežko
Anna,2015-07-26,base.cz,Anno
Anton,2015-06-13,base.cz,Antone
Antonie,2015-06-12,base.cz,Antonie
Antonín,2015-06-13,base.cz,Antoníne
Apolena,2015-02-09,base.cz,Apoleno
Arnošt,2015-03-30,base.cz,Arnošte
Artur,2015-11-26,base.cz,Arture
Augustýn,2015-08-28,base.cz,Augustýne
Barbara,2015-12-04,base.cz,Barbaro
Barbora,2015-12-04,base.cz,Barboro
Bartoloměj,2015-08-24,base.cz,Bartoloměji
Bastian,2015-01-20,base.cz,Bastiane
Beatrice,2015-07-29,base.cz,Beatrice
Bedřich,2015-03-01,base.cz,Bedřicha
Benedikt,2015-11-12,base.cz,Benedikte
Benjamín,2015-12-07,base.cz,Benjamíne
Bernard,2015-08-20,base.cz,Bernarde
Bernd,2015-08-20,base.cz,Bernde
Bernhard,2015-08-20,base.cz,Bernharde
Berta,2015-09-23,base.cz,Berto
Beáta,2015-10-25,base.cz,Beáto
Bibiana,2015-12-02,base.cz,Bibiano
Blahoslav,2015-04-30,base.cz,Blahoslave
Blanka,2015-12-02,base.cz,Blanko
Blažej,2015-02-03,base.cz,Blažeji
Blažena,2015-05-10,base.cz,Blaženo
Bohdan,2015-11-09,base.cz,Bohdane
Bohdana,2015-01-11,base.cz,Bohdano
Bohumil,2015-10-03,base.cz,Bohumile
Bohumila,2015-12-28,base.cz,Bohumilo
Bohumír,2015-11-08,base.cz,Bohumíre
Bohuslav,2015-08-22,base.cz,Bohuslave
Bohuslava,2015-07-07,base.cz,Bohuslavo
Boleslav,2015-09-06,base.cz,Boleslave
Bonifác,2015-05-14,base.cz,Bonifáci
Boris,2015-09-05,base.cz,Borisi
Bořek,2015-07-12,base.cz,Bořku
Bořivoj,2015-07-30,base.cz,Bořivoji
Božena,2015-02-11,base.cz,Boženo
Brigita,2015-10-21,base.cz,Brigito
Bronislav,2015-09-03,base.cz,Bronislave
Bruno,2015-06-11,base.cz,Bruna
Běla,2015-01-21,base.cz,Bělo
Břetislav,2015-01-10,base.cz,Břetislave
Cecílie,2015-11-22,base.cz,Cecílie
Ctibor,2015-05-09,base.cz,Ctibore
Ctirad,2015-01-16,base.cz,Ctirade
Dagmar,2015-12-20,base.cz,Dagmar
Dalibor,2015-06-04,base.cz,Dalibore
Dalimil,2015-01-05,base.cz,Dalimile
Dan,2015-12-17,base.cz,Dane
Dana,2015-12-11,base.cz,Dano
Danica,2015-01-26,base.cz,Danico
Daniel,2015-12-17,base.cz,Daniele
Daniela,2015-09-09,base.cz,Danielo
Danuše,2015-12-11,base.cz,Danuše
Darina,2015-09-22,base.cz,Darino
Darja,2015-04-10,base.cz,Darjo
David,2015-12-30,base.cz,Davide
Denisa,2015-09-11,base.cz,Deniso
Diana,2015-01-04,base.cz,Diano
Dita,2015-03-27,base.cz,Dito
Dobromila,2015-02-05,base.cz,Dobromilo
Dobroslav,2015-06-05,base.cz,Dobroslave
Dominik,2015-08-04,base.cz,Dominiku
Dominika,2015-08-04,base.cz,Dominiko
Dorota,2015-02-26,base.cz,Doroto
Doubravka,2015-01-19,base.cz,Doubravko
Drahomíra,2015-07-18,base.cz,Drahomíro
Drahoslav,2015-01-17,base.cz,Drahoslave
Drahoslava,2015-07-09,base.cz,Drahoslavo
Dušan,2015-04-09,base.cz,Dušane
Dávid,2015-12-30,base.cz,Dávide
Edita,2015-01-13,base.cz,Edito
Eduard,2015-03-18,base.cz,Eduarde
Elena,2015-03-16,base.cz,Eleno
Eliška,2015-10-05,base.cz,Eliško
Ema,2015-04-08,base.cz,Emo
Emanuel,2015-03-26,base.cz,Emanuele
Emil,2015-05-22,base.cz,Emile
Emílie,2015-11-24,base.cz,Emílie
Erik,2015-10-26,base.cz,Eriku
Erika,2015-04-02,base.cz,Eriko
Ester,2015-12-19,base.cz,Ester
Eva,2015-12-24,base.cz,Evo
Evelína,2015-08-29,base.cz,Evelíno
Evžen,2015-11-10,base.cz,Evžene
Evženie,2015-04-22,base.cz,Evženie
Felix,2015-11-01,base.cz,Felixi
Ferdinand,2015-05-30,base.cz,Ferdinande
Filip,2015-05-26,base.cz,Filipe
František,2015-10-04,base.cz,Františku
Františka,2015-03-09,base.cz,Františko
Gabriel,2015-03-24,base.cz,Gabriele
Gabriela,2015-03-08,base.cz,Gabrielo
Gita,2015-06-10,base.cz,Gito
Gizela,2015-02-18,base.cz,Gizelo
Gregor,2015-03-12,base.cz,Gregore
Gustav,2015-08-02,base.cz,Gustave
Gábina,2015-03-08,base.cz,Gábino
Hana,2015-08-15,base.cz,Hano
Hanka,2015-08-15,base.cz,Hanko
Hanuš,2015-10-06,base.cz,Hanuši
Havel,2015-10-16,base.cz,Havle
Hedvika,2015-10-17,base.cz,Hedviko
Helena,2015-08-18,base.cz,Heleno
Herbert,2015-03-16,base.cz,Herberte
Hermína,2015-04-07,base.cz,Hermíno
Heřman,2015-04-07,base.cz,Heřmane
Hubert,2015-11-03,base.cz,Huberte
Hugo,2015-04-01,base.cz,Huga
Hynek,2015-02-01,base.cz,Hynku
Ida,2015-03-15,base.cz,Ido
Ignác,2015-07-31,base.cz,Ignáci
Igor,2015-10-01,base.cz,Igore
Ilja,2015-07-20,base.cz,Iljo
Ilona,2015-01-20,base.cz,Ilono
Ingrid,2015-01-27,base.cz,Ingride
Inka,2015-01-27,base.cz,Inko
Irena,2015-04-16,base.cz,Ireno
Irma,2015-09-10,base.cz,Irmo
Iva,2015-12-01,base.cz,Ivo
Ivan,2015-06-25,base.cz,Ivane
Ivana,2015-04-04,base.cz,Ivano
Iveta,2015-06-07,base.cz,Iveto
Ivo,2015-05-19,base.cz,Iva
Ivona,2015-03-23,base.cz,Ivono
Ivoš,2015-05-19,base.cz,Ivoši
Izabela,2015-04-11,base.cz,Izabelo
Jakub,2015-07-25,base.cz,Jakube
Jan,2015-06-24,base.cz,Jane
Jana,2015-05-24,base.cz,Jano
Janka,2015-05-24,base.cz,Janko
Jarmil,2015-06-02,base.cz,Jarmile
Jarmila,2015-02-04,base.cz,Jarmilo
Jaromír,2015-09-24,base.cz,Jaromíre
Jaroslav,2015-04-27,base.cz,Jaroslave
Jaroslava,2015-07-01,base.cz,Jaroslavo
Jeroným,2015-09-30,base.cz,Jeronýme
Jindra,2015-09-04,base.cz,Jindro
Jindřich,2015-07-15,base.cz,Jindřicha
Jindřiška,2015-09-04,base.cz,Jindřiško
Jitka,2015-12-05,base.cz,Jitko
Jitřenka,2015-01-26,base.cz,Jitřenko
Jiřina,2015-02-15,base.cz,Jiřino
Jiří,2015-04-24,base.cz,Jiří
Johana,2015-08-21,base.cz,Johano
Jolana,2015-09-15,base.cz,Jolano
Jonáš,2015-09-27,base.cz,Jonáši
Josef,2015-03-19,base.cz,Josefe
Jozef,2015-03-19,base.cz,Jozefe
Judita,2015-12-29,base.cz,Judito
Julie,2015-12-10,base.cz,Julie
Julius,2015-04-12,base.cz,Julie
Juraj,2015-04-24,base.cz,Juraji
Justýna,2015-10-07,base.cz,Justýno
Jáchym,2015-08-16,base.cz,Jáchyme
Ján,2015-06-24,base.cz,Jáne
Kamil,2015-03-03,base.cz,Kamile
Kamila,2015-05-31,base.cz,Kamilo
Karel,2015-11-04,base.cz,Karle
Karina,2015-01-02,base.cz,Karino
Karolína,2015-07-14,base.cz,Karolíno
Katarína,2015-11-25,base.cz,Kataríno
Kateřina,2015-11-25,base.cz,Kateřino
Kazimir,2015-03-05,base.cz,Kazimire
Klaudie,2015-05-05,base.cz,Klaudie
Klement,2015-11-23,base.cz,Klemente
Klára,2015-08-12,base.cz,Kláro
Kristian,2015-08-05,base.cz,Kristiane
Kristýna,2015-07-24,base.cz,Kristýno
Kryštof,2015-09-18,base.cz,Kryštofe
Kvido,2015-03-31,base.cz,Kvida
Květa,2015-06-20,base.cz,Květo
Květoslav,2015-05-04,base.cz,Květoslave
Květoslava,2015-12-08,base.cz,Květoslavo
Lada,2015-08-07,base.cz,Lado
Ladislav,2015-06-27,base.cz,Ladislave
Laura,2015-06-01,base.cz,Lauro
Lena,2015-02-21,base.cz,Leno
Lenka,2015-02-21,base.cz,Lenko
Leona,2015-03-22,base.cz,Leono
Leopold,2015-11-15,base.cz,Leopolde
Leoš,2015-06-19,base.cz,Leoši
Libor,2015-07-23,base.cz,Libore
Libuše,2015-07-10,base.cz,Libuše
Liběna,2015-11-06,base.cz,Liběno
Lidmila,2015-09-16,base.cz,Lidmilo
Liliana,2015-02-25,base.cz,Liliano
Linda,2015-09-01,base.cz,Lindo
Ljuba,2015-02-16,base.cz,Ljubo
Lubomír,2015-06-28,base.cz,Lubomíre
Lubor,2015-09-13,base.cz,Lubore
Luboš,2015-07-16,base.cz,Luboši
Lucia,2015-12-13,base.cz,Lucio
Lucie,2015-12-13,base.cz,Lucie
Ludmila,2015-09-16,base.cz,Ludmilo
Ludvík,2015-08-19,base.cz,Ludvíku
Luděk,2015-08-26,base.cz,Luďku
Lukáš,2015-10-18,base.cz,Lukáši
Lumír,2015-02-28,base.cz,Lumíre
Lýdie,2015-12-14,base.cz,Lýdie
Magda,2015-07-22,base.cz,Magdo
Magdaléna,2015-07-22,base.cz,Magdaléno
Mahulena,2015-11-17,base.cz,Mahuleno
Marcel,2015-10-12,base.cz,Marcele
Marcela,2015-04-20,base.cz,Marcelo
Marek,2015-04-25,base.cz,Marku
Marian,2015-03-25,base.cz,Mariane
Mariana,2015-09-08,base.cz,Mariano
Marie,2015-09-12,base.cz,Marie
Marika,2015-01-31,base.cz,Mariko
Marina,2015-10-10,base.cz,Marino
Marián,2015-03-25,base.cz,Mariáne
Markéta,2015-07-13,base.cz,Markéto
Maroš,2015-11-11,base.cz,Maroši
Marta,2015-07-29,base.cz,Marto
Martin,2015-11-11,base.cz,Martine
Martina,2015-07-17,base.cz,Martino
Matouš,2015-09-21,base.cz,Matouši
Matylda,2015-03-14,base.cz,Matyldo
Matěj,2015-02-24,base.cz,Matěji
Maxmilián,2015-05-29,base.cz,Maxmiliáne
Medard,2015-06-08,base.cz,Medarde
Michael,2015-09-29,base.cz,Michaele
Michaela,2015-10-19,base.cz,Michaelo
Michal,2015-09-29,base.cz,Michale
Michala,2015-10-19,base.cz,Michalo
Mikuláš,2015-12-06,base.cz,Mikuláši
Milada,2015-02-08,base.cz,Milado
Milan,2015-06-18,base.cz,Milane
Milena,2015-01-24,base.cz,Mileno
Miloslav,2015-12-18,base.cz,Miloslave
Miloslava,2015-02-17,base.cz,Miloslavo
Miloš,2015-01-25,base.cz,Miloši
Miluše,2015-08-03,base.cz,Miluše
Miriam,2015-11-05,base.cz,Miriam
Mirka,2015-04-05,base.cz,Mirko
Miroslav,2015-03-06,base.cz,Miroslave
Miroslava,2015-04-05,base.cz,Miroslavo
Mojmír,2015-02-10,base.cz,Mojmíre
Monika,2015-05-21,base.cz,Moniko
Naděžda,2015-09-17,base.cz,Naděždo
Nataša,2015-05-18,base.cz,Natašo
Natálie,2015-12-21,base.cz,Natálie
Naďa,2015-09-17,base.cz,Naďo
Nela,2015-02-02,base.cz,Nelo
Nikol,2015-11-20,base.cz,Nikole
Nikola,2015-11-20,base.cz,Nikolo
Nina,2015-10-24,base.cz,Nino
Nora,2015-07-08,base.cz,Noro
Norbert,2015-06-06,base.cz,Norberte
Novýrok,2015-01-01,base.cz,Novýroku
Oldřich,2015-02-20,base.cz,Oldřicha
Oldřiška,2015-08-06,base.cz,Oldřiško
Oleg,2015-09-20,base.cz,Olege
Olga,2015-07-11,base.cz,Olgo
Oliver,2015-10-02,base.cz,Olivere
Olivie,2015-10-02,base.cz,Olivie
Ondřej,2015-11-30,base.cz,Ondřeji
Oskar,2015-08-01,base.cz,Oskare
Otakar,2015-08-27,base.cz,Otakare
Otmar,2015-11-16,base.cz,Otmare
Oto,2015-04-26,base.cz,Ota
Otto,2015-04-26,base.cz,Otta
Otýlie,2015-01-28,base.cz,Otýlie
Pankrác,2015-05-12,base.cz,Pankráci
Patricie,2015-07-02,base.cz,Patricie
Patrik,2015-02-19,base.cz,Patriku
Pavel,2015-06-29,base.cz,Pavle
Pavla,2015-06-22,base.cz,Pavlo
Pavlína,2015-08-31,base.cz,Pavlíno
Pavol,2015-06-29,base.cz,Pavole
Peter,2015-06-29,base.cz,Petere
Petr,2015-06-29,base.cz,Petře
Petra,2015-08-17,base.cz,Petro
Pravoslav,2015-01-12,base.cz,Pravoslave
Prokop,2015-07-04,base.cz,Prokope
Přemysl,2015-05-16,base.cz,Přemysle
Radan,2015-12-15,base.cz,Radane
Radana,2015-12-15,base.cz,Radano
Radek,2015-03-21,base.cz,Radku
Radim,2015-08-25,base.cz,Radime
Radka,2015-09-14,base.cz,Radko
Radmila,2015-01-03,base.cz,Radmilo
Radomír,2015-07-03,base.cz,Radomíre
Radomíra,2015-07-03,base.cz,Radomíro
Radoslav,2015-05-06,base.cz,Radoslave
Radovan,2015-01-14,base.cz,Radovane
Radúz,2015-12-10,base.cz,Radúze
Rastislav,2015-01-13,base.cz,Rastislave
Regina,2015-09-07,base.cz,Regino
Regína,2015-09-07,base.cz,Regíno
Renata,2015-10-13,base.cz,Renato
Renáta,2015-10-13,base.cz,Renáto
René,2015-11-28,base.cz,René
Richard,2015-04-03,base.cz,Richarde
Robert,2015-04-29,base.cz,Roberte
Robin,2015-01-30,base.cz,Robine
Roland,2015-06-14,base.cz,Rolande
Roman,2015-08-09,base.cz,Romane
Romana,2015-11-18,base.cz,Romano
Rostislav,2015-04-19,base.cz,Rostislave
Rudolf,2015-04-17,base.cz,Rudolfe
Růt,2015-03-14,base.cz,Růte
Růžena,2015-03-13,base.cz,Růženo
Sabina,2015-10-22,base.cz,Sabino
Samuel,2015-09-01,base.cz,Samuele
Sandra,2015-08-23,base.cz,Sandro
Saskie,2015-11-07,base.cz,Saskie
Saša,2015-04-21,base.cz,Sašo
Sebastian,2015-01-20,base.cz,Sebastiane
Servác,2015-05-13,base.cz,Serváci
Silvestr,2015-12-31,base.cz,Silvestře
Silvia,2015-10-29,base.cz,Silvio
Silvie,2015-10-29,base.cz,Silvie
Simona,2015-12-12,base.cz,Simono
Slavo,2015-01-22,base.cz,Slavo
Slavoj,2015-06-07,base.cz,Slavoji
Slavomír,2015-01-22,base.cz,Slavomíre
Slavěna,2015-02-12,base.cz,Slavěno
Slávek,2015-01-22,base.cz,Slávku
Slávka,2015-02-12,base.cz,Slávko
Soběslav,2015-08-08,base.cz,Soběslave
Soňa,2015-03-28,base.cz,Soňo
Stanislav,2015-05-07,base.cz,Stanislave
Stanislava,2015-06-09,base.cz,Stanislavo
Stela,2015-03-04,base.cz,Stelo
Svatava,2015-05-11,base.cz,Svatavo
Svatopluk,2015-02-23,base.cz,Svatopluku
Svatoslav,2015-12-03,base.cz,Svatoslave
Světlana,2015-03-20,base.cz,Světlano
Sylva,2015-10-29,base.cz,Sylvo
Sylvie,2015-10-29,base.cz,Sylvie
Sára,2015-10-09,base.cz,Sáro
Sáva,2015-11-14,base.cz,Sávo
Tadeáš,2015-10-30,base.cz,Tadeáši
Tamara,2015-06-03,base.cz,Tamaro
Tatiana,2015-03-29,base.cz,Tatiano
Taťána,2015-03-29,base.cz,Taťáno
Tea,2015-10-23,base.cz,Teo
Teodor,2015-10-23,base.cz,Teodore
Tereza,2015-10-15,base.cz,Terezo
Terezie,2015-10-15,base.cz,Terezie
Tibor,2015-11-13,base.cz,Tibore
Tomáš,2015-03-07,base.cz,Tomáši
Valdemar,2015-05-27,base.cz,Valdemare
Valentýn,2015-02-14,base.cz,Valentýne
Valérie,2015-04-18,base.cz,Valérie
Vanda,2015-02-06,base.cz,Vando
Vavřinec,2015-08-10,base.cz,Vavřinče
Vašek,2015-09-28,base.cz,Vašku
Vendelín,2015-10-20,base.cz,Vendelíne
Vendula,2015-04-06,base.cz,Vendulo
Veronika,2015-02-07,base.cz,Veroniko
Viktor,2015-07-28,base.cz,Viktore
Viktorie,2015-03-10,base.cz,Viktorie
Vilma,2015-01-07,base.cz,Vilmo
Vilém,2015-05-28,base.cz,Viléme
Vincenc,2015-04-14,base.cz,Vincenci
Viola,2015-05-25,base.cz,Violo
Vladan,2015-01-09,base.cz,Vladane
Vladimír,2015-05-23,base.cz,Vladimíre
Vladimíra,2015-05-23,base.cz,Vladimíro
Vladislav,2015-01-18,base.cz,Vladislave
Vladěna,2015-08-30,base.cz,Vladěno
Vlasta,2015-12-23,base.cz,Vlasto
Vlastimil,2015-03-17,base.cz,Vlastimile
Vlastislav,2015-04-28,base.cz,Vlastislave
Vlaďka,2015-01-09,base.cz,Vlaďko
Vojta,2015-04-23,base.cz,Vojto
Vojtěch,2015-04-23,base.cz,Vojtěcha
Vratislav,2015-12-09,base.cz,Vratislave
Václav,2015-09-28,base.cz,Václave
Václava,2015-09-28,base.cz,Václavo
